price,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_checkin,review_scores_location,instant_bookable,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,num_host_verif,num_amenities,is_private_bath,room_type2,host_years,last_review_date,region,num_proximity,local_host
89,13000890,57191267,100,0,0,1,0,34.08784,-118.34582,1,1,1,30,1125,1125,0,0,1,0,100,10,10,0,0,0,0.02,2,15,0,4,4.806010929,3.682191781,Central L.A.,2320,0
138,13003265,71698801,100,93,0,2,1,34.11698,-118.61023,1,1,4,1,14,1125,17,296,406,6,96,10,10,1,0,0,7.77,6,32,0,4,4.534246575,0.090410959,Santa Monica Mountains,136,0
87,13006334,28933623,100,89,1,10,0,34.0278,-118.48061,1,1,1,30,1125,1125,17,322,13,0,97,10,10,0,1,0,0.24,4,38,0,4,5.715068493,0.301369863,Westside,1146,0
99,13013212,71805340,100,100,0,2,1,34.05903,-118.25117,2,2,2,30,300,300,0,0,182,0,93,9,9,0,1,0,3.41,5,28,0,4,4.531506849,1.405479452,Central L.A.,1289,1
80,13016213,7156524,0,0,0,1,1,34.0967,-118.35118,2,1,1,30,1125,1125,40,335,1,0,100,6,10,0,1,0,0.02,4,9,0,2,7.408219178,4.315068493,Central L.A.,2156,1
199,13019645,12775472,100,100,0,1,0,34.02021,-118.50197,1.5,2,1,2,19,1125,0,0,19,0,99,10,10,1,0,0,0.36,4,42,0,4,6.726027397,0.784153005,Westside,741,0
100,13019816,34066015,90,99,1,2,1,34.04213,-118.43176,1,1,1,30,1125,1125,60,355,142,0,98,10,10,0,0,0,2.75,6,28,0,4,5.504109589,0.216438356,Westside,889,1
800,13020290,71044391,96,77,0,3,1,34.03277,-118.72491,2,2,4,3,1125,1125,0,251,4,0,95,10,10,0,0,0,0.08,5,45,0,4,4.542465753,3.142465753,Santa Monica Mountains,45,1
595,13020480,71044391,96,77,0,3,1,34.03268,-118.73041,1,1,2,3,1125,1125,39,337,11,1,98,10,10,0,0,0,0.29,5,39,0,4,4.542465753,0.175342466,Santa Monica Mountains,41,1
119,13029281,38610324,100,78,0,8,1,34.06735,-118.35054,1,1,1,30,1125,1125,58,363,16,1,92,9,10,1,1,1,0.3,7,25,0,4,5.35890411,0.191780822,Central L.A.,1504,1
216,13031958,72020869,100,100,1,1,1,33.99682,-118.46995,1,1,2,31,90,1125,34,294,198,0,99,10,10,1,0,0,3.69,6,29,0,4,4.528767123,0.336986301,Westside,1922,1
28,13032037,7093169,0,0,0,1,1,34.09518,-118.34592,1,1,1,30,50,50,0,0,4,0,87,10,10,0,1,0,0.07,5,12,0,2,7.416438356,4.106849315,Central L.A.,2242,0
90,13032579,55312663,100,76,1,8,1,34.1028,-118.34418,1,1,2,30,365,365,60,180,46,0,95,9,10,0,2,0,0.87,7,29,0,4,4.844262295,0.580821918,Central L.A.,2127,1
25,13032846,72034511,0,0,0,1,1,34.01845,-118.42368,1,1,1,35,45,1125,0,0,1,0,80,6,8,1,1,0,0.02,8,18,0,2,4.526027397,4.336986301,Westside,772,1
125,13032893,54354899,100,96,1,3,1,34.03279,-118.41091,1,1,2,2,90,1125,59,269,289,2,98,10,10,1,0,0,5.45,7,36,0,4,4.863387978,0.15890411,Westside,733,1
111,13041397,72126338,100,100,0,6,1,33.99443,-118.47656,1,0,1,30,350,350,0,50,69,0,88,9,9,0,0,0,1.38,7,27,0,4,4.526027397,0.246575342,Westside,1838,0
450,13045055,14009570,80,66,0,1,1,34.0971,-118.35987,2.5,2,2,2,30,1125,60,90,16,1,94,10,10,0,1,0,0.3,5,38,0,4,6.630136986,0.139726027,Central L.A.,2001,0
350,13057032,29891926,100,100,0,0,0,34.06484,-118.32471,3,3,3,30,1125,1125,58,360,8,0,100,10,10,0,0,0,0.53,3,36,0,4,5.671232877,0.282191781,Central L.A.,1298,1
150,13058047,72310743,50,92,0,2,1,33.99464,-118.45425,1,2,3,30,160,1125,0,265,130,0,94,10,10,0,0,0,2.41,6,38,0,4,4.523287671,0.978142077,Westside,1893,1
40,13061864,72322228,0,0,0,1,1,34.02544,-118.32214,2,1,1,30,366,366,60,365,3,0,70,7,8,1,1,0,0.06,5,9,0,2,4.523287671,2.687671233,South L.A.,510,1
79,13063362,16566992,100,55,0,2,1,33.99044,-118.4461,1,1,1,30,30,30,0,0,86,0,86,10,9,0,0,0,1.62,7,15,0,4,6.457534247,1.071232877,Westside,1850,1
149,13066306,36175495,0,0,0,3,1,34.10034,-118.32759,1,0,1,30,180,180,0,0,3,0,100,10,10,0,0,0,0.07,4,17,0,4,5.430136986,2.969945355,Central L.A.,2103,0
117,13077148,20445956,100,78,0,2,1,34.08691,-118.35242,2,2,4,30,200,1125,0,103,23,0,95,10,10,1,0,0,0.45,6,27,0,4,6.252054795,1.164383562,Central L.A.,2264,1
250,13077447,72519366,100,91,1,5,1,33.98358,-118.45012,1.5,1,1,1,30,30,1,8,32,0,97,10,10,0,0,0,0.61,8,29,0,4,4.520547945,1.959016393,Westside,1789,0
119,13083683,62396579,100,0,0,2,1,33.99124,-118.47648,1,0,1,30,365,365,0,0,2,0,100,10,10,0,0,0,0.04,4,17,0,4,4.706849315,4.221917808,Westside,1788,1
176,13084627,8185146,100,94,0,8,1,34.07772,-118.30495,1,2,4,2,365,1125,32,333,201,1,97,10,10,0,0,0,3.73,8,46,0,4,7.273972603,0.126027397,Central L.A.,1502,1
80,13096980,58360256,74,84,0,24,1,34.01788,-118.5025,1,1,1,31,1125,1125,44,349,2,0,90,10,9,0,0,0,0.06,5,25,0,4,4.781420765,2.287671233,Westside,736,0
75,13097782,58360256,74,84,0,24,1,34.01799,-118.50215,1,0,0,31,1125,1125,27,135,3,0,100,10,10,0,0,0,0.08,5,33,0,4,4.781420765,2.361643836,Westside,741,0
125,13099488,7512393,100,99,0,5,1,34.0818,-118.31828,1,2,0,31,300,1125,30,239,135,1,97,10,10,1,0,0,2.56,9,36,0,4,7.356164384,0.139726027,Central L.A.,1835,1
112,13099545,7512393,100,99,0,5,1,34.06587,-118.39594,3,4,0,31,1125,1125,0,0,55,0,97,10,10,0,0,0,1.04,9,38,0,4,7.356164384,0.868852459,Westside,939,1
115,13114164,49714044,0,0,1,1,1,34.10602,-118.29035,1,1,1,30,360,360,0,0,54,0,96,10,10,0,0,0,1.02,4,33,0,4,5,1.517808219,Central L.A.,1253,1
130,13114694,57451090,0,0,0,1,1,34.05763,-118.26036,1,1,1,30,1125,1125,0,0,2,0,100,10,10,0,0,0,0.04,6,16,0,4,4.800546448,4.309589041,Central L.A.,1441,0
33,13115113,8061420,0,0,0,1,1,34.03224,-118.28418,1,1,1,30,70,70,0,0,1,0,100,10,10,0,1,0,0.02,5,11,0,2,7.287671233,4.312328767,South L.A.,929,1
126,13116418,47900003,0,0,0,1,1,34.05228,-118.3936,2,2,6,30,30,30,0,0,33,0,95,10,10,0,0,0,0.62,5,18,0,4,5.060273973,3.123287671,Westside,962,1
50,13116832,1386914,0,0,0,1,1,34.10616,-118.26502,1,1,1,7,1125,1125,0,0,11,0,98,10,10,0,1,0,0.21,6,17,1,2,9.04109589,3.147945205,Central L.A.,943,1
197,13117706,72975751,100,95,1,1,0,34.04451,-118.37343,2,2,2,30,120,1125,36,53,149,0,98,10,10,0,0,0,2.88,4,41,0,4,4.512328767,0.654794521,Central L.A.,1034,1
60,13128488,73093748,0,0,0,2,1,33.99602,-118.41538,1,1,1,30,100,100,0,0,11,0,100,10,10,0,2,0,0.21,7,18,0,2,4.512328767,3.920765027,Westside,701,0
375,13128594,6195754,0,100,0,1,1,34.01923,-118.38909,3.5,5,4,3,1125,1125,0,0,12,0,98,10,10,0,0,0,0.23,5,33,0,4,7.561643836,0.896174863,Westside,554,0
49,13128685,73093748,0,0,0,2,1,33.9946,-118.41656,1,1,1,30,100,100,0,0,23,0,97,10,10,0,2,0,0.43,7,18,0,2,4.512328767,4.060273973,Westside,688,0
72,13129577,11789691,100,83,1,3,1,34.14675,-118.60933,1.5,1,1,5,60,60,0,0,4,0,100,10,10,0,2,0,0.08,8,28,0,2,6.81420765,1.709589041,Santa Monica Mountains,144,1
80,13135771,51735376,0,0,0,1,1,34.10842,-118.32149,2,1,2,30,1125,1125,0,0,10,0,100,10,10,0,0,0,0.19,8,21,0,4,4.928961749,2.315068493,Central L.A.,1868,1
79,13137070,68672147,100,94,0,16,0,34.01608,-118.49072,1,0,1,31,1125,1125,0,0,12,0,97,10,10,0,0,0,0.28,5,23,0,4,4.583561644,0.265753425,Westside,1196,0
99,13138141,3294402,88,95,0,9,1,34.0433,-118.2785,1,1,2,30,1125,1125,53,358,163,0,92,10,9,0,0,0,3.09,7,27,0,4,8.268493151,0.99726776,Central L.A.,1266,1
156,13152923,33419187,0,0,0,4,1,33.98464,-118.35494,2.5,3,5,21,30,30,0,0,5,0,76,9,8,0,0,0,0.1,6,14,0,4,5.526027397,3.394520548,South L.A.,371,1
106,13154541,73415937,100,100,0,1,1,34.02822,-118.48204,1,1,1,2,1125,1125,4,11,106,0,93,10,10,0,1,0,2.01,6,29,1,2,4.506849315,0.347945205,Westside,1109,0
99,13155177,73425591,100,100,1,3,0,34.08084,-118.3034,1,2,2,31,365,1125,28,115,186,0,92,10,10,0,0,0,3.55,4,30,0,4,4.506849315,0.836065574,Central L.A.,1606,0
130,13156580,32972321,0,0,0,1,1,34.00247,-118.39219,2,2,2,7,21,1125,0,0,8,0,100,10,10,1,0,0,0.16,7,30,0,4,5.542465753,1.890710383,Westside,492,0
145,13171546,24882653,0,0,0,1,1,34.01312,-118.48212,1,1,1,2,1125,1125,0,0,171,0,95,10,10,0,0,0,3.33,10,17,0,4,5.93715847,1.701369863,Westside,1553,0
138,13172582,6949790,67,100,1,1,1,34.03198,-118.44908,1,0,2,1,90,1125,0,228,90,1,99,10,10,1,0,0,1.68,5,36,0,4,7.438356164,0.134246575,Westside,881,1
