"","longitude","latitude","price","region","xgrid","est_price"
"4774",-118.21455,34.07541,65,"Eastside",-118.214355852843,108.451427566505
"4775",-118.3524,34.05365,111,"Central L.A.",-118.351857993311,154.355320537339
"4776",-118.37394,34.05815,72,"Central L.A.",-118.373426956522,173.834066919536
"4777",-118.26689,34.0869,185,"Central L.A.",-118.265582140468,141.555212346078
"4778",-118.33472,34.10552,165,"Central L.A.",-118.335681270903,143.339666199466
"4779",-118.47367,33.99657,119,"Westside",-118.473183411371,188.822695487647
"4780",-118.34572,34.06549,153,"Central L.A.",-118.346465752508,150.400891662143
"4781",-118.33372,34.10367,65,"Central L.A.",-118.332985150502,141.390127383678
"4782",-118.59441,34.09941,179,"Santa Monica Mountains",-118.594508829431,273.209621028069
"4783",-118.49819,34.0166,196,"Westside",-118.497448494983,180.271272844013
"4784",-118.47235,33.99736,140,"Westside",-118.473183411371,188.822695487647
"4785",-118.42696,34.06517,175,"Westside",-118.427349364548,160.469920258731
"4786",-118.44295,34.05198,135,"Westside",-118.443526086957,176.467523332254
"4787",-118.34431,34.06147,290,"Central L.A.",-118.343769632107,148.616382566372
"4788",-118.31123,34.07031,158,"Central L.A.",-118.311416187291,120.535243910334
"4789",-118.34003,34.09553,229,"Central L.A.",-118.341073511706,146.888766558123
"4790",-118.46405,34.00244,425,"Westside",-118.465095050167,189.222603137789
"4791",-118.29287,34.06111,35,"Central L.A.",-118.292543344482,116.558000754517
"4792",-118.26302,34.0545,95,"Central L.A.",-118.262886020067,142.80065651829
"4793",-118.40653,34.01646,120,"Westside",-118.405780401338,163.12858229958
"4794",-118.29978,34.1035,86,"Central L.A.",-118.300631705686,114.49264444588
"4795",-118.43674,34.05189,90,"Westside",-118.435437725753,167.954541406021
"4796",-118.79712,34.12255,146,"Santa Monica Mountains",-118.796717859532,278.438011420218
"4797",-118.28516,34.07939,150,"Central L.A.",-118.284454983278,123.719430115868
"4798",-118.40142,34.02766,125,"Westside",-118.400388160535,168.083797596726
"4799",-118.31681,34.09815,80,"Central L.A.",-118.316808428094,125.918480068493
"4800",-118.44832,33.99045,95,"Westside",-118.448918327759,181.469927418946
"4801",-118.44843,34.06202,86,"Westside",-118.448918327759,181.469927418946
"4802",-118.44972,34.06363,90,"Westside",-118.448918327759,181.469927418946
"4803",-118.46404,33.98163,175,"Westside",-118.465095050167,189.222603137789
"4804",-118.25237,34.05672,70,"Central L.A.",-118.252101538462,143.756498814525
"4805",-118.26105,34.10184,110,"Central L.A.",-118.260189899666,143.630280758379
"4806",-118.34562,34.06414,160,"Central L.A.",-118.346465752508,150.400891662143
"4807",-118.46404,34.03571,50,"Westside",-118.465095050167,189.222603137789
"4808",-118.45982,34.0485,149,"Westside",-118.459702809365,187.967174176758
"4809",-118.27184,34.0779,65,"Central L.A.",-118.270974381271,137.830434215113
"4810",-118.28503,34.03623,61,"South L.A.",-118.284454983278,123.719430115868
